cell,logFC,score_R,score_NR
B2_P1_M24_L001,-1.45361847221637,0,1.45361847221637
B2_P2_M24_L001,-0.24352596573254,0,0.24352596573254
B2_P3_M24_L001,-0.694801723645489,0,0.694801723645489
B2_P4_M24_L001,-0.963727903648492,0,0.963727903648492
B3_P1_M24_L001,-1.48630970208489,0,1.48630970208489
B3_P2_M24_L001,1.59901732638521,1.59901732638521,0
B3_P4_M24_L001,-1.08362689801179,0,1.08362689801179
B4_P1_M24_L001,-1.56609434417302,0,1.56609434417302
B4_P2_M24_L001,-1.64605196225826,0,1.64605196225826
B4_P3_M24_L001,-0.0237345281351828,0,0.0237345281351828
B4_P4_M24_L001,-0.23082159545274,0,0.23082159545274
B5_P1_M24_L001,-1.14410594084142,0,1.14410594084142
B5_P2_M24_L001,-0.457471283035374,0,0.457471283035374
B5_P3_M24_L001,-1.58244564320132,0,1.58244564320132
B5_P4_M24_L001,-1.43699313251252,0,1.43699313251252
B6_P1_M24_L001,-0.201169196006541,0,0.201169196006541
B6_P2_M24_L001,-1.32574497797652,0,1.32574497797652
B6_P3_M24_L001,-0.0783317887016223,0,0.0783317887016223
B6_P4_M24_L001,0.168869183283067,0.168869183283067,0
B7_P1_M24_L001,1.88888626263137,1.88888626263137,0
B7_P2_M24_L001,-0.887023677028268,0,0.887023677028268
B7_P3_M24_L001,0.350896427094326,0.350896427094326,0
B7_P4_M24_L001,-0.791419457840001,0,0.791419457840001
B8_P1_M24_L001,-0.361471461414763,0,0.361471461414763
B8_P3_M24_L001,1.04594201108491,1.04594201108491,0
B8_P4_M24_L001,2.3071125041073,2.3071125041073,0
B9_P1_M24_L001,0.245030146542505,0.245030146542505,0
B9_P2_M24_L001,0.230454139163026,0.230454139163026,0
B9_P3_M24_L001,-1.48093089207647,0,1.48093089207647
B9_P4_M24_L001,-2.79680956341767,0,2.79680956341767
C10_P1_M24_L001,-0.691633752085658,0,0.691633752085658
C10_P2_M24_L001,-1.42320191726944,0,1.42320191726944
C10_P3_M24_L001,0.286933486307682,0.286933486307682,0
C10_P4_M24_L001,1.44969311291163,1.44969311291163,0
C11_P1_M24_L001,-0.81781673607072,0,0.81781673607072
C11_P2_M24_L001,-0.592729872213111,0,0.592729872213111
C11_P3_M24_L001,2.32959009304387,2.32959009304387,0
C11_P4_M24_L001,-0.931095320488986,0,0.931095320488986
C12_P1_M24_L001,0.920296697340324,0.920296697340324,0
C12_P2_M24_L001,-0.953764907912799,0,0.953764907912799
C12_P3_M24_L001,0.417542954369841,0.417542954369841,0
C12_P4_M24_L001,-0.91653098852151,0,0.91653098852151
C1_P1_M24_L001,1.06536005721257,1.06536005721257,0
C1_P2_M24_L001,-1.30512531801467,0,1.30512531801467
C1_P3_M24_L001,-0.712386227179434,0,0.712386227179434
C1_P4_M24_L001,-1.29617883223535,0,1.29617883223535
C2_P1_M24_L001,0.403630330702405,0.403630330702405,0
C2_P2_M24_L001,-1.1901236607418,0,1.1901236607418
C2_P3_M24_L001,-0.13989693608722,0,0.13989693608722
C2_P4_M24_L001,0.568833789920091,0.568833789920091,0
C3_P1_M24_L001,-2.93116748448129,0,2.93116748448129
C3_P2_M24_L001,-1.43496050679407,0,1.43496050679407
C3_P3_M24_L001,-0.0632088070101197,0,0.0632088070101197
C3_P4_M24_L001,-2.60870232636533,0,2.60870232636533
C4_P1_M24_L001,-2.38065623448604,0,2.38065623448604
C4_P2_M24_L001,-0.50427541840362,0,0.50427541840362
C4_P3_M24_L001,-1.60180095823828,0,1.60180095823828
C4_P4_M24_L001,-0.0830613971339942,0,0.0830613971339942
C5_P1_M24_L001,-1.94267599182578,0,1.94267599182578
C5_P2_M24_L001,0.0198152702553299,0.0198152702553299,0
C5_P3_M24_L001,-1.83739778304656,0,1.83739778304656
C5_P4_M24_L001,-0.944013230051235,0,0.944013230051235
C6_P1_M24_L001,-0.510812713431889,0,0.510812713431889
C6_P2_M24_L001,2.11981427535918,2.11981427535918,0
C6_P3_M24_L001,-0.653805692541245,0,0.653805692541245
C6_P4_M24_L001,0.323968032510421,0.323968032510421,0
C7_P1_M24_L001,-0.508462743455747,0,0.508462743455747
C7_P2_M24_L001,-1.02222593108166,0,1.02222593108166
C7_P3_M24_L001,-2.36795932868261,0,2.36795932868261
C7_P4_M24_L001,-2.94723523119471,0,2.94723523119471
C8_P1_M24_L001,-1.86982620559414,0,1.86982620559414
C8_P2_M24_L001,-2.51094127333723,0,2.51094127333723
C8_P3_M24_L001,-0.0382245963776236,0,0.0382245963776236
